Africa	Afrique
Xapon	Japon
Ixachitlān Huitztlāmpa	Amérique du Sud
Noruega	Norvège
Inglatlālpan	Angleterre
Wales	Pays de Galles
Irtlālpan	Irlande (pays)
Hungria	Hongrie
Caxtillān	Espagne
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	États-Unis
Belgica	Belgique
Luxemburgo	Luxembourg (pays)
Cemānāhuac	Univers
Tlālticpactli	Terre
Miquiztli	Mort
Tlācatl	Homo sapiens
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finlande
Suecia	Suède
Dinamarca	Danemark
Polonia	Pologne
Lituania	Lituanie
Italia	Italie
Suiza	Suisse
Austria	Autriche
Grecia	Grèce
Turquia	Turquie
Portugal	Portugal
Europan	Europe
Asia	Asie
Ixachitlān Mictlāmpa	Amérique du Nord
Antartida	Antarctique
Huiquipedia	Wikipédia
Tlanitlālpan	Pays-Bas
Tepōlli	Pénis
Āltepētl Yancuīc York	New York
Washington, D.C.	Washington (district de Columbia)
San Francisco, California	San Francisco
Berlin	Berlin
Los Ángeles	Los Angeles
Chīuhpōhualhuaztli	Ordinateur
Berna	Berne
Zurich	Zurich
Mātlatzālantli	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	Londres
In Cairo	Le Caire
Alexandria	Alexandrie
Manzana	Pomme
Paris	Paris
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	Mexique
Ilhuicaātl Atlántico	Océan Atlantique
Tēpāpāquiltiliztli Ilhuicaātl	Océan Pacifique
California	Californie
Mētztlitōnal	Lundi
Ic cē mētztli	Janvier
Ic ōme mētztli	Février
Ic ēyi mētztli	Mars (mois)
Chīchīlcītlalli	Mars (planète)
Quenia	Kenya
Etiopia	Éthiopie
Ghana	Ghana
Ic nāuhtetl mētztli	Avril
Ic mācuīlli mētztli	Mai
Ic chicuacen mētztli	Juin
Ic chicōme mētztli	Juillet
Ic chicuēyi mētztli	Août
Ic chiucnāhui mētztli	Septembre
Ic mahtlāctetl mētztli	Octobre
Ic mahtlāctetl oncē mētztli	Novembre
Ic mahtlāctetl omōme mētztli	Décembre
Huītzilōpōchtōnal	Mardi
Yacatlipotōnal	Mercredi
Tezcatlipotōnal	Jeudi
Quetzalcōātōnal	Vendredi
Tlāloctitōnal	Samedi
Tōnatiuhtōnal	Dimanche
Cuāmiztli	Lion
Francia	France
Esperantotlahtōlli	Espéranto
Itzcuintli	Chien
Tlacetilīlli Huēyitlahtohcāyōtl	Royaume-Uni
Miztōn	Chat
China	Chine
Franciatlahtōlli	Français
Michin	Poisson
Octli	Boisson alcoolisée
Brasil	Brésil
Rusia	Russie
Huēyātl	Mer
Π	Pi (lettre grecque)
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
São Paulo (tlahtohcāyōtl)	État de São Paulo
Quebec	Québec
Jimmy Wales	Jimmy Wales
Alemania	Allemagne
Belarus	Biélorussie
Alemantlahtōlli	Allemand
Iztlālpan	Islande
Estonia	Estonie
Tzitzimicītlalli	Saturne (planète)
Xocolātl	Chocolat
Tepoztōtōtl	Avion
Cē (tlapōhualli)	1 (nombre)
Ōme	2 (nombre)
Ēyi	3 (nombre)
Nāhui	4 (nombre)
Mācuīlli	5 (nombre)
George W. Bush	George W. Bush
